first_name,last_name,salary
John,Smith,27000
John,Fanning,35000
Lisa,Moore,35000
Kelly,Brooks,22000
Anthony,Hopkins,19500
Donald,Duck,19300
Kevin,Peitersen,32300
Isabela,Karan,30260
Lisa,Logan,20000
Kelly,Shield,19000
"Mary Ann",Vista,37570
Kevin,Luther,33000
Isabela,Tauton,32500
John,Vaughan,27000
Leroy,Garten,40099
John,Whitaker,32000
Lisa,Merci,35000
Kelly,Alba,22000
Anthony,Bravo,19500
"Mary Ann",Dolce,32513
Donald,Bus,19300
Isabela,Apple,30260
Lisa,Hammer,20000
Kelly,Rise,19000
Anthony,Tamahori,23000
"Mary Ann",Horn,37570
Donald,Crank,31000
Kevin,Long,33000
Isabela,Moore,32500
