first_name,age,salary
John,54,27000
Leroy,55,40099
John,28,35000
Lisa,27,35000
Ginger,22,31500
Kelly,27,22000
Shawn,20,25000
Michael,21,25000
Anthony,26,19500
Leroy,54,30000
"Mary Ann",32,32513
Donald,35,19300
Linda,35,25000
Sarah,15,25000
Kevin,40,32300
Conrad,20,32300
Isabela,38,30260
Lisa,23,20000
Ginger,10,22000
Kelly,25,19000
Shawn,26,22000
Michael,24,21000
Anthony,47,23000
"Mary Ann",27,37570
Donald,34,31000
Linda,42,34000
Sarah,51,32000
Kevin,45,33000
Conrad,24,31500
Isabela,25,32500
John,25,27000
Leroy,55,40099
John,25,32000
Lisa,27,35000
Ginger,20,25000
Kelly,27,22000
Shawn,20,25000
Michael,21,25000
Anthony,26,19500
Leroy,54,30000
"Mary Ann",32,32513
Donald,35,19300
Linda,35,25000
Sarah,15,25000
Kevin,40,32300
Conrad,40,25000
Isabela,38,30260
Lisa,23,20000
Ginger,10,22000
Kelly,25,19000
Shawn,26,22000
Michael,24,21000
Anthony,84,23000
"Mary Ann",27,37570
Donald,34,31000
Linda,42,34000
Sarah,51,32000
Kevin,45,33000
Conrad,24,31500
Isabela,25,32500
