first_name,last_name,age,salary
John,Fanning,28,35000
Lisa,Moore,27,35000
Kelly,Brooks,27,22000
Anthony,Hopkins,26,19500
"Mary Ann",Moore,32,32513
Donald,Duck,35,19300
Linda,Hamilton,35,25000
Kevin,Peitersen,40,32300
Isabela,Karan,38,30260
Kelly,Shield,25,19000
Shawn,Bichel,26,22000
"Mary Ann",Vista,27,37570
Donald,Bang,34,31000
Linda,Hamser,42,34000
Isabela,Tauton,25,32500
John,Vaughan,25,27000
John,Whitaker,25,32000
Lisa,Merci,27,35000
Kelly,Alba,27,22000
Anthony,Bravo,26,19500
"Mary Ann",Dolce,32,32513
Donald,Bus,35,19300
Linda,Scott,35,25000
Kevin,Reese,40,32300
Conrad,Turtle,40,25000
Isabela,Apple,38,30260
Kelly,Rise,25,19000
Shawn,Bell,26,22000
"Mary Ann",Horn,27,37570
Donald,Crank,34,31000
Linda,Josh,42,34000
Isabela,Moore,25,32500
