first_name,last_name,title,age,salary
John,Smith,Engineer,54,30500
Kelly,Brooks,Engineer,27,25500
Shawn,Tait,Fresher,20,28500
Michael,Tolstoy,Fresher,21,28500
Anthony,Hopkins,Engineer,26,23000
Leroy,Miles,"General Manager",54,30000
"Mary Ann",Moore,"Software Engineer",32,32513
Donald,Duck,Engineer,35,22800
Linda,Hamilton,Fresher,35,28500
Sarah,Karan,Fresher,15,28500
Kevin,Peitersen,Engineer,40,32300
Conrad,Whales,"Software Engineer",20,32300
Isabela,Karan,Engineer,38,30260
Lisa,Logan,Engineer,23,23500
Ginger,Gran,Fresher,10,25500
Kelly,Shield,Engineer,25,22500
Shawn,Bichel,Fresher,26,25500
Michael,Stone,Fresher,24,24500
Anthony,Groove,"Software Engineer",47,26500
Donald,Bang,Fresher,34,31000
Sarah,Bones,Fresher,51,32000
Kevin,Luther,Engineer,45,33000
Conrad,Marss,Fresher,24,31500
Isabela,Tauton,Engineer,25,32500
John,Vaughan,Engineer,25,30500
John,Whitaker,Engineer,25,32000
Ginger,Brown,"Software Engineer",20,28500
Kelly,Alba,Engineer,27,25500
Shawn,Sons,Fresher,20,28500
Michael,Mitchell,Fresher,21,28500
Anthony,Bravo,Engineer,26,23000
Leroy,Kings,"General Manager",54,30000
"Mary Ann",Dolce,Engineer,32,32513
Donald,Bus,Engineer,35,22800
Linda,Scott,Fresher,35,28500
Sarah,Jones,Fresher,15,28500
Kevin,Reese,"Software Engineer",40,32300
Conrad,Turtle,"Software Engineer",40,28500
Isabela,Apple,Engineer,38,30260
Lisa,Hammer,Engineer,23,23500
Ginger,Gold,Fresher,10,25500
Kelly,Rise,Engineer,25,22500
Shawn,Bell,Fresher,26,25500
Michael,Moore,Fresher,24,24500
Anthony,Tamahori,Engineer,84,26500
Donald,Crank,Engineer,34,31000
Sarah,Michael,Fresher,51,32000
Kevin,Long,Engineer,45,33000
Conrad,Tamahori,"Software Engineer",24,31500
Isabela,Moore,Engineer,25,32500
